Time,bit-x,bitfinex,bitstamp,btce,coinbase,gemini,kraken,mtgox,okcoin,others
2016-11-01 00:00:00 UTC,40137.273,269794.65086441,154318.20816598,129822.787172619,135602.65801604,63725.5487555337,41944.74876735,,83576.2739999999,280915.62914876
2016-12-01 00:00:00 UTC,93917.183,288299.86840255,172682.26882758,136176.090121029,172266.28134464,64075.2750038762,43463.9634263001,,74630.4309999999,278587.39553444
2017-01-01 00:00:00 UTC,95483.055,699569.83031469,335352.616001,212985.37988957,226574.576400079,81031.8453154448,86959.4577419801,,121092.444,351871.62494237
2017-02-01 00:00:00 UTC,103158.476,477722.68791285,209670.21002767,171467.55660674,170539.00090631,87235.495712068,61055.0861756101,,76055.6659999999,172486.89685793
2017-03-01 00:00:00 UTC,94201.196,1012152.1214346,321959.4407506,289211.46144665,343123.1025915,159881.175100363,114503.47765024,,124164.3,182931.645124843
2017-04-01 00:00:00 UTC,80411.3879999999,419458.23592728,162542.29364516,175207.65699588,225115.53838765,136644.751927018,65417.30753243,,103959.975,103934.581088965
2017-05-01 00:00:00 UTC,81411.1570000001,740583.28412815,464388.61731354,309269.42938538,557939.839055449,302746.325466253,221555.22856659,,174245.088,199901.452626316
2017-06-01 00:00:00 UTC,72356.8880000001,645492.562182239,447661.525548389,206279.003442129,542349.766830918,283144.435480395,214543.55649821,,71525.133,76217.119393242
2017-07-01 00:00:00 UTC,75176.472,940068.54533588,442360.82518923,146091.379705249,425880.151201299,419253.367897921,253556.49456403,,39059.713,116926.972017855
2017-08-01 00:00:00 UTC,65914.16,944432.310209302,375446.87566772,,425455.13094038,328282.763124734,209196.71848236,,26522.268,173897.122163075
2017-09-01 00:00:00 UTC,55163.486,1490809.04507677,517529.31747479,,440467.69632964,293250.620690871,198288.75406449,,28062.661,202934.694028936
2017-10-01 00:00:00 UTC,50938.002,1341105.25805507,373570.10998335,,344630.430876469,196825.457293196,131178.88808582,,1940.62,223504.946316861
2017-11-01 00:00:00 UTC,16675.495,2100417.39102696,482428.20238985,,743466.056753592,278425.446680496,157360.88971788,,,443523.715925958
2017-12-01 00:00:00 UTC,49741.5324,2211209.50251341,561324.961010549,,1062838.01021491,356256.413657957,128971.06187727,,,389437.329950878
2018-01-01 00:00:00 UTC,60094.0122,1597840.08141045,465109.102367619,,647209.19503313,285200.906248989,146901.55567437,,,367621.483555879
2018-02-01 00:00:00 UTC,52855.3745,1880057.39696712,579513.6339484,,795718.363765365,264897.641267808,307292.80067181,,,382529.398710969
2018-03-01 00:00:00 UTC,62663.2172,1770752.21717423,506816.36720669,,627036.899481199,218746.202127148,370726.81921413,,,363282.069253269
2018-04-01 00:00:00 UTC,55116.1424,1256129.67892225,382811.76411244,,404318.321367739,129339.326650145,216908.99004797,,,306316.362657099
2018-05-01 00:00:00 UTC,59588.6918,813996.036749328,315306.353312879,,282190.113795939,103472.317246117,133616.29051108,,,423842.634179839
2018-06-01 00:00:00 UTC,48634.9776,701110.720707981,244705.64578847,,232928.953874728,80965.2972624524,118024.33476748,,,409049.126885889
2018-07-01 00:00:00 UTC,71231.3343999999,785191.783292803,243006.75240913,,258493.174693539,93030.2390400714,118935.56366124,,,348304.426255169
2018-08-01 00:00:00 UTC,72051.3346,906077.807762352,239931.27651552,,305259.602680669,90088.5318033911,148922.42469269,,,408319.863369766
2018-09-01 00:00:00 UTC,179899.9516,650142.60653812,162012.53522118,,227377.75176167,66528.6239034712,113079.70730165,,,117232.34953639
2018-10-01 00:00:00 UTC,246761.7443,411973.526357941,117891.4924091,,170500.034604831,78440.4492060803,75461.8200583501,,,122325.6525501
2018-11-01 00:00:00 UTC,295156.5728,948425.584421086,344685.17004773,,470498.293723402,163654.926559254,228299.25387032,,,307526.48806333
2018-12-01 00:00:00 UTC,327866.8918,969513.860709385,359308.39995659,,466356.468709459,163687.738714725,335360.432567879,,,202934.6578411
2019-01-01 00:00:00 UTC,51136.2746,433174.664702411,206445.36339978,,284582.366696639,88989.0445415643,175961.45456085,,,101455.28796014
2019-02-01 00:00:00 UTC,42507.6151,372923.92332324,203472.21951517,,245031.26128149,67963.8209159689,141042.35787244,,,74680.35719367
2019-03-01 00:00:00 UTC,46242.5672,205371.00181408,163724.46258715,,188432.4326108,51941.0744338306,97981.3725730999,,,53243.40552341
2019-04-01 00:00:00 UTC,59166.0294,411120.395071202,294950.48010997,,367001.349671541,86868.3150751287,200643.02002614,,,91267.73566215
2019-05-01 00:00:00 UTC,81405.0640000001,492338.149737474,370222.030697249,,628486.481382792,97058.4403523055,308526.26968817,,,94632.21850382
